,Marcucci-7,LSC-17,Li-24,Herold-31,LSCR-48-probes,Metzeler-86-probes,HSCR-105-probes,Bullinger-133
GSM924018,1,1,1,0,1,1,0,0
GSM924019,0,0,0,0,0,0,0,0
GSM924020,0,0,0,0,0,1,0,1
GSM924021,1,1,0,0,1,1,1,0
GSM924022,0,0,1,0,0,1,1,0
GSM924023,0,0,0,0,1,1,0,1
GSM924024,0,0,1,0,1,1,0,1
GSM924025,1,1,1,0,1,1,0,0
GSM924026,0,0,0,0,0,1,0,0
GSM924027,0,0,1,0,1,1,1,0
GSM924028,1,1,1,0,0,1,1,1
GSM924029,0,1,1,0,0,1,0,1
GSM924030,1,0,0,0,0,0,0,0
GSM924031,1,1,1,0,1,1,1,1
GSM924032,0,0,1,0,1,1,1,0
GSM924033,0,0,0,0,0,1,0,1
GSM924034,1,0,0,0,0,1,0,0
GSM924035,0,1,1,0,1,1,1,1
GSM924036,0,0,0,0,0,1,0,0
GSM924037,0,0,0,0,0,1,0,1
GSM924038,1,1,1,0,1,1,1,0
GSM924039,0,0,1,0,0,1,0,1
GSM924040,0,1,1,0,0,1,0,1
GSM924041,0,0,0,0,0,0,0,0
GSM924042,1,0,1,0,1,1,0,1
GSM924043,1,1,0,0,1,1,1,1
GSM924044,1,1,1,0,0,1,1,0
GSM924045,1,1,1,0,1,1,1,0
GSM924046,1,1,1,0,1,1,0,1
GSM924047,1,0,0,0,1,1,0,1
GSM924048,0,1,0,0,1,1,1,1
GSM924049,0,1,0,0,0,1,1,0
GSM924050,1,0,0,0,0,0,0,0
GSM924051,1,1,1,0,1,1,1,1
GSM924052,1,1,0,0,1,1,1,0
GSM924053,1,1,1,0,1,1,1,1
GSM924054,1,0,1,0,0,1,1,0
GSM924055,0,0,0,0,0,1,0,1
GSM924056,0,0,0,0,0,1,1,0
GSM924057,0,1,0,0,0,1,0,1
GSM924058,1,1,1,0,1,1,1,1
GSM924059,0,0,0,0,0,0,0,0
GSM924060,1,0,0,0,1,0,0,0
GSM924061,1,1,1,0,1,1,1,0
GSM924062,0,1,1,0,0,1,0,0
GSM924063,1,0,1,0,0,1,1,1
GSM924064,1,1,1,0,1,1,0,0
GSM924065,1,1,0,0,1,1,1,1
GSM924066,0,0,0,0,0,1,0,1
GSM924067,1,1,0,0,1,1,1,1
GSM924068,1,1,1,0,1,1,1,0
GSM924069,1,1,1,0,1,1,1,1
GSM924070,0,0,0,0,0,0,0,0
GSM924071,1,0,0,0,0,1,0,0
GSM924072,1,1,1,0,1,1,1,0
GSM924073,0,0,0,0,0,1,0,0
GSM924074,0,0,0,0,0,1,0,0
GSM924075,0,1,1,0,0,1,1,0
GSM924076,0,1,1,0,1,1,1,1
GSM924077,0,0,0,0,0,0,0,0
GSM924078,1,1,1,0,1,1,1,0
GSM924079,0,0,0,0,1,1,1,0
GSM924080,1,1,1,0,1,1,1,1
GSM924081,0,0,1,0,1,1,1,1
GSM924082,0,0,0,0,0,1,0,1
GSM924083,0,1,1,0,0,1,0,1
GSM924084,1,0,1,0,0,1,1,0
GSM924085,0,0,1,0,0,1,1,0
GSM924086,1,0,1,0,1,1,1,1
GSM924087,1,1,1,0,1,1,1,1
GSM924088,1,1,0,0,0,1,1,0
GSM924089,1,0,0,0,1,0,0,0
GSM924090,1,1,0,0,0,1,0,0
GSM924091,0,0,1,0,1,1,1,1
GSM924092,1,1,0,0,1,1,1,1
GSM924093,1,0,0,0,0,0,1,0
GSM924094,1,1,1,0,1,1,0,1
GSM924095,1,1,1,0,1,1,1,0
GSM924096,1,0,1,0,0,1,0,0
GSM924097,0,0,1,0,0,1,0,1
GSM924098,0,0,0,0,0,1,0,0
GSM924099,0,0,1,0,1,1,1,0
GSM924100,0,0,0,0,0,0,0,0
GSM924101,1,0,0,0,0,1,0,1
GSM924102,1,0,0,0,0,1,0,1
GSM924103,1,0,0,0,0,1,0,0
GSM924104,0,0,0,0,0,1,0,1
GSM924105,1,1,1,0,1,1,0,1
GSM924106,0,0,0,0,0,1,0,1
GSM924107,0,1,0,0,1,1,1,1
GSM924108,0,1,1,0,1,1,0,1
GSM924109,0,1,0,0,1,1,0,1
GSM924110,0,0,0,0,0,0,0,0
GSM924111,0,1,1,0,1,1,1,1
GSM924112,0,1,0,0,1,1,1,0
GSM924113,1,1,1,0,1,1,1,1
GSM924114,0,0,0,0,0,1,0,0
GSM924115,1,1,1,0,1,1,1,1
GSM924116,0,1,1,0,1,1,1,1
GSM924117,0,0,0,0,0,1,0,1
GSM924118,0,0,1,0,0,1,0,1
GSM924119,0,0,0,0,0,1,0,0
GSM924120,1,0,0,0,1,1,1,0
GSM924121,1,0,0,0,0,0,0,0
GSM924122,1,1,1,0,1,1,1,1
GSM924123,1,0,1,0,0,1,1,0
GSM924124,0,1,1,0,0,1,1,1
GSM924125,1,1,0,0,1,1,0,0
GSM924126,1,1,1,0,0,1,0,0
GSM924127,1,1,1,0,1,1,1,1
GSM924128,0,0,0,0,0,1,0,1
GSM924129,1,1,0,0,0,1,0,0
GSM924130,1,1,1,0,1,1,1,1
GSM924131,0,0,0,0,0,0,0,0
GSM924132,0,1,0,0,1,1,1,1
GSM924133,1,1,1,0,0,1,1,1
GSM924134,0,1,0,0,1,1,0,0
GSM924135,1,1,1,0,1,1,1,1
GSM924136,1,1,1,0,1,1,1,1
GSM924137,0,0,0,0,0,0,0,0
GSM924138,1,0,1,0,1,1,1,0
GSM924139,0,1,1,0,1,1,1,1
GSM924140,0,0,0,0,0,1,0,0
GSM924141,0,0,0,0,0,0,0,0
GSM924142,0,0,0,0,1,1,1,0
GSM924143,1,1,0,0,1,1,1,0
GSM924144,1,1,1,0,0,1,1,0
GSM924145,1,0,0,0,0,1,0,0
GSM924146,0,0,0,0,0,1,0,1
GSM924147,0,1,1,0,1,1,1,1
GSM924148,0,1,1,0,1,1,0,1
GSM924149,1,1,1,0,1,1,1,1
GSM924150,1,1,1,0,1,1,1,1
GSM924151,0,0,0,0,0,1,0,1
GSM924152,0,0,0,0,0,1,1,0
GSM924153,0,0,1,0,0,1,0,1
GSM924154,1,1,0,0,1,1,1,0
