"","Ligene","Metzeler86","Bullinger","Marcucci","LSCR","HSCR","LSC17"
"GSM768722","2","1","1","2","2","2","2"
"GSM158923","1","1","1","2","2","1","1"
"GSM768749","2","1","2","1","1","1","1"
"GSM768706","1","1","1","2","1","1","1"
"GSM768683","2","2","2","1","2","2","2"
"GSM159133","2","1","2","1","1","1","1"
"GSM158994","1","1","1","2","1","1","1"
"GSM158900","1","1","1","2","2","2","1"
"GSM158795","2","2","2","1","2","2","2"
"GSM158870","2","1","1","2","2","2","2"
"GSM159125","2","1","2","1","2","2","2"
"GSM158981","1","1","2","1","1","1","1"
"GSM158743","2","2","2","1","2","2","2"
"GSM768692","2","2","2","1","2","2","2"
"GSM159026","1","1","1","2","2","1","1"
"GSM158783","2","1","2","1","1","2","1"
"GSM159091","1","1","2","1","1","1","1"
"GSM159164","2","1","2","1","1","1","2"
"GSM158749","1","1","1","2","1","1","1"
"GSM158856","1","1","1","2","1","1","2"
"GSM158763","2","2","1","2","2","2","2"
"GSM158825","1","1","2","1","1","1","1"
"GSM159128","2","1","2","1","1","2","1"
"GSM159015","1","1","1","2","1","1","2"
"GSM158979","2","1","1","2","2","2","2"
"GSM768704","2","1","2","2","1","2","2"
"GSM158983","2","1","1","2","2","2","2"
"GSM159130","2","1","2","1","2","2","2"
"GSM158968","2","1","1","2","2","2","2"
"GSM159047","1","1","1","1","1","1","1"
"GSM159109","1","1","2","2","1","1","1"
"GSM159158","2","1","2","2","2","2","2"
"GSM158781","1","1","1","2","2","2","2"
"GSM159104","2","1","1","2","1","1","1"
"GSM158887","2","2","2","1","1","1","2"
"GSM159009","2","1","2","1","1","1","1"
"GSM158846","1","1","1","1","1","1","1"
"GSM768685","1","1","1","2","1","1","1"
"GSM158862","2","1","1","2","2","2","1"
"GSM158980","2","1","2","2","2","1","1"
"GSM158854","2","2","2","1","2","2","2"
"GSM159119","2","1","2","1","1","1","1"
"GSM158886","2","2","2","1","2","2","2"
"GSM158858","2","1","2","1","2","2","2"
"GSM768693","2","1","2","1","1","1","1"
"GSM158977","2","2","1","2","2","2","2"
"GSM158747","1","1","1","1","2","1","2"
"GSM158865","1","1","2","1","1","1","1"
"GSM158803","2","1","1","2","2","2","1"
"GSM768748","1","1","1","2","1","2","2"
"GSM158882","1","1","1","2","2","1","2"
"GSM158812","1","1","1","2","1","1","1"
"GSM158951","1","1","1","2","1","1","1"
"GSM768712","2","1","1","2","1","1","1"
"GSM158991","1","1","1","2","2","1","1"
"GSM768684","2","1","1","2","2","2","1"
"GSM158946","2","1","2","1","1","1","1"
"GSM158914","1","1","1","1","1","1","1"
"GSM159043","2","1","1","2","2","2","2"
"GSM158752","2","1","1","2","2","2","2"
"GSM158838","2","2","2","1","2","2","2"
"GSM158848","2","2","2","1","2","2","2"
"GSM159079","2","2","2","2","2","2","2"
"GSM768740","2","2","2","1","2","2","2"
"GSM768719","1","1","1","2","2","1","2"
"GSM159051","1","1","2","1","1","1","1"
"GSM159163","2","2","1","2","2","2","2"
"GSM158759","2","1","2","2","2","2","2"
"GSM158757","1","1","1","2","2","2","2"
"GSM158799","1","1","1","1","1","1","1"
"GSM158976","1","1","2","1","1","1","1"
"GSM158776","2","2","2","1","2","2","2"
"GSM159053","1","1","1","2","1","1","1"
"GSM158945","1","1","1","2","2","2","1"
"GSM158770","2","2","2","1","2","2","2"
"GSM158925","1","1","1","2","2","1","1"
